iter	Passed	Remaining
0	157	157130
1	157	78779
2	158	52643
3	158	39571
4	159	31727
5	159	26493
6	160	22754
7	160	19949
8	161	17768
9	161	16026
10	162	14601
11	162	13411
12	163	12406
13	163	11548
14	164	10813
15	165	10160
16	165	9583
17	166	9080
18	167	8625
19	167	8210
20	168	7835
21	168	7494
22	169	7192
23	169	6909
24	170	6646
25	171	6406
26	172	6209
27	172	6001
28	173	5804
29	175	5666
30	176	5501
31	176	5340
32	177	5189
33	177	5047
34	178	4913
35	178	4791
36	179	4675
37	180	4564
38	181	4460
39	181	4357
40	182	4258
41	182	4165
42	183	4076
43	183	3995
44	184	3915
45	185	3837
46	185	3764
47	186	3694
48	186	3625
49	187	3559
50	187	3495
51	188	3435
52	189	3378
53	189	3324
54	190	3270
55	190	3218
56	191	3167
57	192	3119
58	192	3074
59	193	3029
60	193	2984
61	194	2940
62	194	2899
63	195	2864
64	196	2826
65	197	2788
66	197	2751
67	198	2715
68	198	2681
69	199	2648
70	199	2615
71	200	2582
72	200	2551
73	201	2521
74	202	2495
75	202	2466
76	203	2437
77	203	2409
78	204	2383
79	205	2361
80	205	2335
81	206	2310
82	206	2283
83	207	2259
84	207	2236
85	208	2214
86	209	2193
87	209	2172
88	210	2151
89	210	2130
90	211	2110
91	211	2090
92	212	2070
93	212	2051
94	213	2032
95	213	2014
96	214	1999
97	215	1982
98	215	1964
99	216	1947
100	216	1931
101	217	1916
102	218	1900
103	218	1883
104	219	1868
105	219	1852
106	220	1838
107	221	1831
108	222	1816
109	222	1802
110	223	1788
111	224	1776
112	224	1762
113	225	1748
114	225	1735
115	226	1723
116	226	1710
117	227	1700
118	227	1687
119	228	1675
120	229	1663
121	229	1652
122	230	1641
123	230	1630
124	231	1618
125	231	1607
126	232	1596
127	232	1586
128	233	1577
129	234	1568
130	234	1557
131	235	1547
132	235	1537
133	236	1528
134	237	1519
135	237	1510
136	238	1500
137	238	1490
138	239	1481
139	239	1473
140	240	1465
141	240	1455
142	241	1447
143	241	1438
144	242	1429
145	243	1422
146	243	1414
147	244	1405
148	244	1398
149	245	1391
150	246	1383
151	246	1376
152	247	1369
153	247	1361
154	248	1354
155	248	1346
156	249	1340
157	250	1333
158	250	1326
159	251	1318
160	251	1311
161	252	1304
162	252	1297
163	253	1292
164	254	1285
165	254	1279
166	255	1272
167	255	1265
168	256	1260
169	256	1254
170	257	1248
171	258	1242
172	258	1236
173	259	1230
174	259	1225
175	260	1220
176	261	1214
177	261	1208
178	262	1203
179	262	1197
180	263	1192
181	264	1186
182	264	1180
183	264	1175
184	265	1169
185	266	1164
186	266	1160
187	267	1154
188	267	1149
189	268	1144
190	269	1141
191	270	1137
192	270	1132
193	271	1127
194	272	1122
195	272	1118
196	273	1114
197	273	1109
198	274	1104
199	274	1099
200	275	1095
201	276	1091
202	276	1086
203	277	1081
204	277	1077
205	278	1072
206	278	1067
207	279	1063
208	280	1060
209	280	1056
210	281	1051
211	281	1047
212	282	1044
213	283	1041
214	284	1037
215	284	1034
216	285	1030
217	286	1028
218	287	1025
219	288	1022
220	289	1019
221	290	1017
222	291	1015
223	292	1012
224	293	1010
225	295	1011
226	296	1008
227	297	1006
228	298	1006
229	299	1003
230	300	1000
231	301	997
232	302	994
233	302	990
234	303	988
235	304	986
236	305	984
237	306	981
238	307	977
239	307	974
240	308	972
241	309	969
242	310	967
243	311	965
244	312	963
245	314	962
246	314	959
247	315	956
248	316	953
249	317	952
250	318	949
251	318	946
252	319	942
253	319	939
254	320	936
255	321	934
256	322	931
257	322	928
258	323	926
259	324	923
260	325	921
261	326	920
262	327	918
263	328	916
264	329	913
265	330	912
266	331	909
267	332	907
268	333	904
269	333	901
270	334	899
271	335	898
272	336	896
273	337	893
274	338	891
275	338	888
276	340	887
277	340	885
278	341	883
279	343	882
280	344	880
281	345	878
282	345	876
283	346	873
284	347	871
285	348	869
286	349	867
287	349	864
288	350	862
289	351	859
290	351	857
291	353	855
292	353	853
293	354	851
294	355	848
295	355	845
296	356	843
297	357	841
298	358	840
299	359	838
300	362	841
301	363	840
302	364	838
303	365	836
304	366	835
305	367	833
306	368	831
307	369	830
308	371	829
309	372	828
310	373	826
311	374	825
312	375	823
313	376	821
314	376	819
315	377	817
316	378	814
317	379	814
318	380	811
319	381	809
320	381	807
321	382	805
322	383	802
323	383	800
324	384	798
325	385	796
326	386	794
327	386	792
328	387	790
329	387	787
330	388	785
331	389	783
332	389	780
333	390	778
334	391	776
335	391	774
336	392	772
337	393	770
338	393	767
339	394	765
340	394	763
341	395	760
342	396	759
343	396	757
344	397	754
345	398	752
346	398	750
347	399	748
348	399	746
349	400	743
350	400	741
351	401	739
352	402	737
353	402	734
354	403	732
355	403	730
356	404	728
357	405	726
358	405	724
359	406	722
360	407	720
361	407	718
362	408	716
363	408	714
364	409	711
365	410	710
366	411	709
367	411	707
368	412	705
369	413	703
370	413	701
371	414	699
372	414	697
373	415	695
374	415	692
375	416	691
376	417	689
377	417	687
378	418	685
379	419	683
380	419	681
381	420	679
382	420	677
383	421	675
384	421	673
385	422	672
386	423	670
387	423	668
388	424	666
389	425	665
390	425	663
391	426	661
392	426	659
393	427	657
394	428	655
395	428	653
396	429	651
397	429	649
398	430	648
399	431	646
400	431	645
401	432	643
402	433	641
403	433	639
404	434	637
405	434	635
406	435	633
407	435	632
408	436	630
409	437	628
410	437	627
411	438	625
412	438	623
413	439	622
414	440	620
415	440	618
416	441	616
417	441	615
418	442	613
419	443	612
420	444	610
421	444	608
422	445	607
423	445	605
424	446	603
425	446	602
426	447	600
427	448	598
428	448	597
429	450	596
430	451	595
431	451	593
432	452	592
433	452	590
434	453	588
435	453	587
436	454	585
437	455	583
438	455	582
439	456	581
440	457	579
441	458	578
442	458	576
443	459	574
444	459	573
445	460	571
446	460	570
447	461	568
448	462	567
449	462	565
450	463	564
451	464	562
452	464	561
453	465	559
454	465	557
455	466	556
456	466	554
457	467	553
458	468	551
459	469	551
460	470	549
461	470	548
462	471	546
463	472	545
464	472	543
465	473	542
466	473	540
467	474	539
468	475	538
469	476	536
470	476	535
471	477	533
472	477	532
473	478	530
474	478	529
475	479	527
476	479	526
477	480	524
478	481	523
479	482	522
480	482	521
481	483	519
482	484	518
483	484	516
484	485	515
485	486	514
486	486	512
487	487	511
488	488	510
489	488	508
490	489	507
491	490	506
492	490	504
493	491	503
494	492	501
495	492	500
496	493	499
497	494	498
498	494	496
499	495	495
500	496	494
501	496	492
502	497	491
503	497	489
504	498	488
505	498	486
506	499	485
507	500	484
508	500	483
509	501	482
510	502	480
511	502	479
512	503	477
513	503	476
514	504	475
515	506	474
516	507	473
517	507	472
518	508	471
519	508	469
520	509	468
521	510	467
522	510	465
523	511	464
524	512	463
525	512	462
526	513	460
527	514	459
528	514	458
529	515	456
530	515	455
531	516	454
532	516	452
533	517	451
534	517	450
535	518	449
536	519	447
537	520	446
538	520	445
539	521	444
540	521	442
541	522	441
542	522	440
543	523	438
544	523	437
545	524	436
546	525	435
547	526	434
548	527	433
549	527	431
550	528	430
551	529	429
552	529	428
553	530	426
554	530	425
555	531	424
556	532	423
557	532	422
558	533	420
559	534	419
560	534	418
561	535	417
562	535	415
563	536	414
564	536	413
565	537	411
566	537	410
567	538	409
568	539	408
569	540	407
570	540	406
571	541	405
572	542	404
573	542	402
574	543	401
575	543	400
576	544	399
577	545	398
578	545	396
579	546	395
580	547	394
581	547	393
582	548	392
583	548	391
584	549	389
585	549	388
586	550	387
587	550	386
588	551	384
589	552	383
590	552	382
591	553	381
592	554	380
593	555	379
594	555	378
595	556	377
596	557	376
597	557	374
598	558	374
599	561	374
600	563	373
601	566	374
602	568	374
603	569	373
604	570	372
605	571	371
606	571	370
607	572	368
608	572	367
609	573	366
610	573	365
611	574	364
612	575	363
613	575	361
614	576	360
615	577	359
616	577	358
617	578	357
618	578	356
619	579	354
620	579	353
621	580	352
622	580	351
623	581	350
624	582	349
625	582	348
626	583	347
627	584	346
628	584	344
629	585	343
630	585	342
631	586	341
632	586	340
633	587	339
634	587	337
635	588	336
636	589	335
637	590	334
638	590	333
639	591	332
640	591	331
641	592	330
642	592	329
643	593	328
644	593	326
645	594	325
646	595	324
647	595	323
648	596	322
649	597	321
650	597	320
651	598	319
652	598	318
653	599	316
654	599	315
655	600	314
656	600	313
657	601	312
658	602	311
659	603	310
660	603	309
661	604	308
662	605	307
663	605	306
664	606	305
665	606	304
666	607	303
667	607	302
668	608	301
669	609	300
670	609	299
671	610	297
672	611	296
673	611	295
674	612	294
675	612	293
676	613	292
677	613	291
678	614	290
679	615	289
680	616	288
681	616	287
682	617	286
683	617	285
684	618	284
685	618	283
686	619	282
687	619	281
688	620	280
689	621	279
690	621	278
691	622	277
692	623	276
693	623	275
694	624	273
695	624	272
696	625	271
697	625	270
698	626	269
699	627	268
700	628	267
701	628	266
702	629	265
703	630	264
704	630	263
705	631	262
706	631	261
707	632	261
708	633	260
709	634	259
710	635	258
711	635	257
712	636	256
713	637	255
714	637	254
715	639	253
716	639	252
717	640	251
718	641	250
719	641	249
720	642	248
721	643	247
722	644	246
723	644	245
724	645	244
725	645	243
726	646	242
727	647	241
728	648	240
729	649	240
730	650	239
731	650	238
732	651	237
733	651	236
734	652	235
735	652	234
736	653	233
737	654	232
738	654	231
739	656	230
740	657	229
741	657	228
742	658	227
743	659	226
744	660	226
745	661	225
746	662	224
747	663	223
748	663	222
749	664	221
750	665	220
751	665	219
752	666	218
753	668	218
754	669	217
755	669	216
756	670	215
757	671	214
758	672	213
759	673	212
760	673	211
761	674	210
762	675	209
763	675	208
764	676	207
765	677	206
766	678	206
767	678	205
768	679	204
769	680	203
770	680	202
771	681	201
772	681	200
773	682	199
774	682	198
775	683	197
776	684	196
777	684	195
778	685	194
779	685	193
780	686	192
781	686	191
782	687	190
783	687	189
784	688	188
785	689	187
786	690	186
787	691	185
788	691	184
789	692	183
790	692	183
791	693	182
792	693	181
793	694	180
794	695	179
795	695	178
796	696	177
797	696	176
798	697	175
799	698	174
800	698	173
801	699	172
802	699	171
803	700	170
804	701	169
805	702	168
806	702	168
807	703	167
808	704	166
809	704	165
810	705	164
811	705	163
812	706	162
813	707	161
814	707	160
815	708	159
816	709	158
817	710	158
818	710	157
819	711	156
820	712	155
821	713	154
822	713	153
823	714	152
824	715	151
825	715	150
826	716	149
827	716	148
828	717	148
829	718	147
830	718	146
831	719	145
832	720	144
833	721	143
834	721	142
835	722	141
836	722	140
837	723	139
838	723	138
839	724	138
840	725	137
841	725	136
842	726	135
843	727	134
844	727	133
845	728	132
846	729	131
847	729	130
848	730	129
849	730	128
850	731	128
851	731	127
852	732	126
853	733	125
854	733	124
855	734	123
856	735	122
857	735	121
858	736	120
859	736	119
860	737	119
861	737	118
862	738	117
863	739	116
864	739	115
865	740	114
866	741	113
867	741	112
868	742	111
869	742	110
870	743	110
871	743	109
872	744	108
873	745	107
874	745	106
875	746	105
876	747	104
877	747	103
878	748	103
879	749	102
880	749	101
881	750	100
882	750	99
883	751	98
884	751	97
885	752	96
886	753	95
887	753	95
888	754	94
889	755	93
890	755	92
891	756	91
892	756	90
893	757	89
894	757	88
895	758	88
896	759	87
897	759	86
898	760	85
899	761	84
900	761	83
901	762	82
902	762	81
903	763	81
904	764	80
905	764	79
906	765	78
907	766	77
908	766	76
909	767	75
910	767	75
911	768	74
912	769	73
913	769	72
914	770	71
915	770	70
916	771	69
917	771	68
918	772	68
919	773	67
920	774	66
921	774	65
922	775	64
923	776	63
924	776	62
925	778	62
926	779	61
927	779	60
928	780	59
929	781	58
930	782	57
931	782	57
932	783	56
933	784	55
934	784	54
935	785	53
936	786	52
937	786	51
938	787	51
